Reference,Location,MAT,MAP,Ecosystems,N type,N amount,Duration,C(POC),Csd,T(POC),Tsd,Cn,Tn,C(MAOC),Csd,T(MAOC),Tsd,Cn,Tn,C(SOC),Csd,T(SOC),Tsd,Cn,Tn,C(TN),Csd,T(TN),Tsd,Cn,Tn,C(NH4),Csd,T(NH4),Tsd,Cn,Tn,C(NO3),Csd,T(NO3),Tsd,Cn,Tn,C(DOC),Csd,T(DOC),Tsd,Cn,Tn,C(MBC),Csd,T(MBC),Tsd,Cn,Tn,C(pH),Csd,T(pH),Tsd,Cn,Tn
"Cheng et al., 2018","41бу42'N, 127бу38'E ",3.6,700,forest,urea,60,2,29.11896104,13.93349879,48.24415584,19.86034841,12,12,56.36363636,7.242909091,61.63636364,10.07709091,12,12,78.86363636,18.87272727,102.0454545,28.30909091,12,12,5.204545455,1.100909091,7.068181818,2.280454545,12,12,18.2295082,1.639344262,24.56830601,2.295081967,12,12,16.14754098,1.639344262,25.30054645,2.322404372,12,12,672.1354167,176.6041667,739.5833333,208.140625,12,12,,,,,,,4.656747405,0.280152249,4.517647059,0.330435986,12,12
"Cheng et al., 2018","41бу42'N, 127бу38'E ",3.6,700,forest,urea,80,2,29.11896104,13.93349879,56.25350649,18.03254186,12,12,56.36363636,7.242909091,60.18181818,7.557818182,12,12,78.86363636,18.87272727,102.7272727,30.66818182,12,12,5.204545455,1.100909091,7.159090909,1.572727273,12,12,18.2295082,1.639344262,24.02185792,2.950819672,12,12,16.14754098,1.639344262,24.89071038,1.639344262,12,12,672.1354167,176.6041667,803.3854167,290.1354167,12,12,,,,,,,4.656747405,0.280152249,4.490657439,0.179584775,12,12
"Cheng et al., 2018","41бу42'N, 127бу38'E ",3.6,700,forest,urea,100,2,29.11896104,13.93349879,57.80467532,27.27126433,12,12,56.36363636,7.242909091,58.36363636,7.872727273,12,12,78.86363636,18.87272727,103.4090909,37.74545455,12,12,5.204545455,1.100909091,7.454545455,2.516363636,12,12,18.2295082,1.639344262,25.22404372,2.513661202,12,12,16.14754098,1.639344262,26.2568306,1.50273224,12,12,672.1354167,176.6041667,768.75,271.2135417,12,12,,,,,,,4.656747405,0.280152249,4.353633218,0.158034602,12,12
"Cheng et al., 2018","41бу42'N, 127бу38'E ",3.6,700,forest,urea,120,2,29.11896104,13.93349879,46.60467532,24.29453315,12,12,56.36363636,7.242909091,62.54545455,10.07709091,12,12,78.86363636,18.87272727,93.86363636,37.74545455,12,12,5.204545455,1.100909091,6.295454545,1.73,12,12,18.2295082,1.639344262,27.40983607,3.93442623,12,12,16.14754098,1.639344262,26.66666667,3.005464481,12,12,672.1354167,176.6041667,814.3229167,264.90625,12,12,,,,,,,4.656747405,0.280152249,4.484429066,0.28733564,12,12
"Cheng et al., 2018","41бу42'N, 127бу38'E ",3.6,700,forest,urea,140,2,29.11896104,13.93349879,40.14337662,8.485229841,12,12,56.36363636,7.242909091,60.36363636,5.983272727,12,12,78.86363636,18.87272727,89.77272727,18.87272727,12,12,5.204545455,1.100909091,6.159090909,1.258181818,12,12,18.2295082,1.639344262,24.78688525,2.950819672,12,12,16.14754098,1.639344262,32.81420765,1.912568306,12,12,672.1354167,176.6041667,715.8854167,239.6770833,12,12,,,,,,,4.656747405,0.280152249,4.384775087,0.208318339,12,12
"Cui et al., 2014","33бу45'N, 101бу47'W",15.5,550,grassland,urea,60,3,6.12,1.1232648,6.8,1.230324,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cusack et al., 2011","18.3буN, 65.8буW",23,3500,forest,NH4NO3,50,6,5.334,0.288201842,16.03,0.131490051,3,3,32.373,0.151528867,35.496,0.027779444,3,3,39,3.464,48,6.928,3,3,2.7,0.3464,3.4,0.5196,3,3,,,,,,,,,,,,,2.1,1.0392,2.9,2.9444,3,3,,,,,,,3.8,0.1732,3.9,0.3464,3,3
"Cusack et al., 2011","18.3буN, 65.8буW",23,3500,forest,NH4NO3,50,6,12.675,0.578720139,11.271,0.329441334,3,3,35.557,0.190330434,46.32,0.229356367,3,3,51,3.464,68,29.444,3,3,2.4,0.3464,3.1,1.0392,3,3,,,,,,,,,,,,,3.5,1.5588,5.3,2.9444,3,3,,,,,,,4,0.1732,3.9,0.1732,3,3
"Divito et al., 2011","37бу45'S, 58бу18'W",,,cropland,urea,116,7,10.22332506,2.580645161,10.62034739,3.374689826,4,4,23.02729529,2.977667494,23.72208437,2.977667494,4,4,33.25062035,3.940334142,34.34243176,4.500559424,4,4,2.656059758,0.256450961,2.929774704,0.153802541,4,4,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,
"Divito et al., 2011","37бу45'S, 58бу18'W",,,cropland,urea,176,7,10.22332506,2.580645161,11.41439206,1.58808933,4,4,23.02729529,2.977667494,23.42431762,1.786600496,4,4,33.25062035,3.940334142,34.83870968,2.390390983,4,4,2.656059758,0.256450961,2.780394464,0.17952843,4,4,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,
